"","speech_act","speaker_role","target_child_age_months","utterance_count","total_utterance_count","utteranceType_relFreq","utteranceType_ppc"
"288","imperative","Mother",64,153,3494,0.0437893531768746,4.37893531768746
"289","imperative","Mother",65,99,2465,0.0401622718052738,4.01622718052738
"290","imperative","Mother",66,321,4603,0.0697371279600261,6.97371279600261
"291","imperative","Mother",67,258,6017,0.0428785108858235,4.28785108858235
"292","imperative","Mother",68,166,3336,0.0497601918465228,4.97601918465228
"293","imperative","Mother",69,222,4649,0.0477522047752205,4.77522047752205
"294","imperative","Mother",70,137,2970,0.0461279461279461,4.61279461279461
"295","imperative","Mother",71,82,2371,0.0345845634753269,3.45845634753269
"296","imperative","Target_Child",12,30,2046,0.0146627565982405,1.46627565982405
"297","imperative","Target_Child",13,64,3356,0.0190703218116806,1.90703218116806
"298","imperative","Target_Child",14,155,16285,0.00951796131409272,0.951796131409272
"299","imperative","Target_Child",15,66,6140,0.0107491856677524,1.07491856677524
"300","imperative","Target_Child",16,246,9142,0.0269087726974404,2.69087726974404
"301","imperative","Target_Child",17,230,11354,0.0202571780870178,2.02571780870178
"302","imperative","Target_Child",18,273,17697,0.015426343448042,1.5426343448042
"303","imperative","Target_Child",19,564,23096,0.0244198129546242,2.44198129546242
"304","imperative","Target_Child",20,1091,26403,0.0413210620005302,4.13210620005302
"305","imperative","Target_Child",21,589,28157,0.020918421706858,2.0918421706858
"306","imperative","Target_Child",22,355,27504,0.0129072134962187,1.29072134962187
"307","imperative","Target_Child",23,713,43601,0.0163528359441297,1.63528359441297
"308","imperative","Target_Child",24,2321,103637,0.0223954765190038,2.23954765190038
"309","imperative","Target_Child",25,1385,75181,0.0184222077386574,1.84222077386574
"310","imperative","Target_Child",26,1447,71405,0.0202646873468245,2.02646873468245
"311","imperative","Target_Child",27,1494,76383,0.0195593260280429,1.95593260280429
"312","imperative","Target_Child",28,1816,80095,0.0226730757225794,2.26730757225794
"313","imperative","Target_Child",29,1928,87761,0.0219687560533722,2.19687560533722
"314","imperative","Target_Child",30,2471,89888,0.0274897650409398,2.74897650409398
"315","imperative","Target_Child",31,1623,83028,0.019547622488799,1.9547622488799
"316","imperative","Target_Child",32,1504,75626,0.0198873403326898,1.98873403326898
"317","imperative","Target_Child",33,1519,78185,0.0194282790816653,1.94282790816653
"318","imperative","Target_Child",34,1723,76215,0.0226070983402217,2.26070983402217
"319","imperative","Target_Child",35,981,52360,0.0187356760886173,1.87356760886173
"320","imperative","Target_Child",36,2580,118276,0.0218133856403666,2.18133856403666
