"","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"120","Father",1.76095140314853,"and",4,201,0.0199004975124378,19.9004975124378
"121","Father",1.76368925393566,"and",1,41,0.024390243902439,24.390243902439
"122","Father",1.76916495550992,"and",1,121,0.00826446280991736,8.26446280991736
"123","Father",1.77464065708419,"and",66,3112,0.0212082262210797,21.2082262210797
"124","Father",1.77464065708419,"or",2,3112,0.0006426735218509,0.6426735218509
"125","Father",1.77737850787132,"and",6,459,0.0130718954248366,13.0718954248366
"126","Father",1.77737850787132,"or",1,459,0.00217864923747277,2.17864923747277
"127","Father",1.78559206023272,"and",2,136,0.0147058823529412,14.7058823529412
"128","Father",1.79380561259411,"and",46,2336,0.0196917808219178,19.6917808219178
"129","Father",1.79380561259411,"or",2,2336,0.000856164383561644,0.856164383561644
"130","Father",1.80749486652977,"and",7,967,0.00723888314374354,7.23888314374354
"131","Father",1.81023271731691,"and",32,2624,0.0121951219512195,12.1951219512195
"132","Father",1.8184462696783,"and",11,660,0.0166666666666667,16.6666666666667
"133","Father",1.8184462696783,"or",1,660,0.00151515151515152,1.51515151515152
"134","Father",1.83333333333333,"and",76,3583,0.0212112754674853,21.2112754674853
"135","Father",1.83333333333333,"or",1,3583,0.000279095729835334,0.279095729835334
"136","Father",1.84154688569473,"and",1,202,0.00495049504950495,4.95049504950495
"137","Father",1.84702258726899,"and",48,2392,0.020066889632107,20.066889632107
"138","Father",1.84702258726899,"or",1,2392,0.000418060200668896,0.418060200668896
"139","Father",1.84976043805613,"and",33,1894,0.0174234424498416,17.4234424498416
"140","Father",1.84976043805613,"or",3,1894,0.00158394931362196,1.58394931362196
"141","Father",1.85249828884326,"and",8,933,0.00857449088960343,8.57449088960343
"142","Father",1.85249828884326,"or",2,933,0.00214362272240086,2.14362272240086
"143","Father",1.85523613963039,"and",4,169,0.0236686390532544,23.6686390532544
"144","Father",1.85523613963039,"or",1,169,0.00591715976331361,5.91715976331361
"145","Father",1.86071184120465,"and",1,114,0.0087719298245614,8.7719298245614
"146","Father",1.86071184120465,"or",4,114,0.0350877192982456,35.0877192982456
"147","Father",1.86344969199179,"and",84,4159,0.0201971627795143,20.1971627795143
"148","Father",1.86344969199179,"or",4,4159,0.000961769656167348,0.961769656167348
"149","Father",1.86618754277892,"and",8,343,0.0233236151603499,23.3236151603499
"150","Father",1.86618754277892,"or",2,343,0.00583090379008746,5.83090379008746
"151","Father",1.86892539356605,"and",2,37,0.0540540540540541,54.0540540540541
"152","Father",1.87166324435318,"and",2,246,0.00813008130081301,8.13008130081301
"153","Father",1.87713894592745,"and",50,2262,0.02210433244916,22.10433244916
"154","Father",1.87713894592745,"or",5,2262,0.002210433244916,2.210433244916
"155","Father",1.87987679671458,"or",1,332,0.00301204819277108,3.01204819277108
"156","Father",1.88261464750171,"and",16,2205,0.0072562358276644,7.2562358276644
"157","Father",1.88535249828884,"and",3,350,0.00857142857142857,8.57142857142857
"158","Father",1.88809034907598,"or",1,184,0.00543478260869565,5.43478260869565
"159","Father",1.89082819986311,"or",1,66,0.0151515151515152,15.1515151515152
