"","speaker_role","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"789","Mother","and",64,"declarative",272,12224,0.0222513089005236,22.2513089005236
"790","Mother","and",64,"imperative",10,545,0.018348623853211,18.348623853211
"791","Mother","and",64,"other",18,405,0.0444444444444444,44.4444444444444
"792","Mother","and",64,"question",50,4482,0.0111557340473003,11.1557340473003
"793","Mother","and",65,"declarative",163,8673,0.0187939582612706,18.7939582612706
"794","Mother","and",65,"imperative",6,360,0.0166666666666667,16.6666666666667
"795","Mother","and",65,"other",18,337,0.0534124629080119,53.4124629080119
"796","Mother","and",65,"question",60,3764,0.0159404888416578,15.9404888416578
"797","Mother","and",66,"declarative",222,14720,0.0150815217391304,15.0815217391304
"798","Mother","and",66,"imperative",18,1114,0.0161579892280072,16.1579892280072
"799","Mother","and",66,"other",33,783,0.0421455938697318,42.1455938697318
"800","Mother","and",66,"question",64,6743,0.00949132433634881,9.49132433634881
"801","Mother","and",67,"declarative",399,20486,0.0194767158059162,19.4767158059162
"802","Mother","and",67,"imperative",23,1042,0.0220729366602687,22.0729366602687
"803","Mother","and",67,"other",32,907,0.0352811466372657,35.2811466372657
"804","Mother","and",67,"question",86,7554,0.0113846968493513,11.3846968493513
"805","Mother","and",68,"declarative",253,11246,0.0224968877823226,22.4968877823226
"806","Mother","and",68,"imperative",18,790,0.0227848101265823,22.7848101265823
"807","Mother","and",68,"other",18,368,0.0489130434782609,48.9130434782609
"808","Mother","and",68,"question",42,3994,0.0105157736604907,10.5157736604907
"809","Mother","and",69,"declarative",309,15956,0.0193657558285285,19.3657558285285
"810","Mother","and",69,"imperative",14,767,0.0182529335071708,18.2529335071708
"811","Mother","and",69,"other",31,760,0.0407894736842105,40.7894736842105
"812","Mother","and",69,"question",59,5707,0.0103381811810058,10.3381811810058
"813","Mother","and",70,"declarative",185,9459,0.0195580928216513,19.5580928216513
"814","Mother","and",70,"imperative",12,546,0.021978021978022,21.978021978022
"815","Mother","and",70,"other",14,442,0.0316742081447964,31.6742081447964
"816","Mother","and",70,"question",38,3813,0.00996590611067401,9.96590611067401
"817","Mother","and",71,"declarative",156,7627,0.0204536515012456,20.4536515012456
"818","Mother","and",71,"imperative",6,337,0.0178041543026706,17.8041543026706
"819","Mother","and",71,"other",17,539,0.0315398886827458,31.5398886827458
"820","Mother","and",71,"question",36,3962,0.00908632004038364,9.08632004038364
"821","Mother","or",12,"declarative",12,18186,0.000659848234905972,0.659848234905972
"822","Mother","or",12,"other",3,756,0.00396825396825397,3.96825396825397
"823","Mother","or",12,"question",21,10104,0.00207838479809976,2.07838479809976
"824","Mother","or",13,"declarative",9,14881,0.000604798064646193,0.604798064646193
"825","Mother","or",13,"question",9,8478,0.00106157112526539,1.06157112526539
"826","Mother","or",14,"declarative",24,45188,0.000531114455165088,0.531114455165088
"827","Mother","or",14,"other",6,1448,0.00414364640883978,4.14364640883978
"828","Mother","or",14,"question",31,25784,0.00120229599751784,1.20229599751784
"829","Mother","or",15,"declarative",18,28130,0.000639886242445787,0.639886242445787
"830","Mother","or",15,"other",3,1505,0.00199335548172757,1.99335548172757
"831","Mother","or",15,"question",25,10328,0.00242060418280403,2.42060418280403
"832","Mother","or",16,"declarative",25,33516,0.000745912400047738,0.745912400047738
"833","Mother","or",16,"other",8,2411,0.00331812525922854,3.31812525922854
"834","Mother","or",16,"question",26,14447,0.00179968159479477,1.79968159479477
"835","Mother","or",17,"declarative",21,34654,0.000605990650429965,0.605990650429965
"836","Mother","or",17,"other",11,2830,0.003886925795053,3.886925795053
"837","Mother","or",17,"question",36,18428,0.00195354894725418,1.95354894725418
"838","Mother","or",18,"declarative",32,53452,0.000598667963780588,0.598667963780588
"839","Mother","or",18,"question",34,27912,0.00121811407280023,1.21811407280023
"840","Mother","or",19,"declarative",81,81426,0.000994768255839658,0.994768255839658
"841","Mother","or",19,"other",5,3661,0.00136574706364381,1.36574706364381
"842","Mother","or",19,"question",53,39600,0.00133838383838384,1.33838383838384
"843","Mother","or",20,"declarative",67,79763,0.000839988465830021,0.839988465830021
"844","Mother","or",20,"imperative",3,5243,0.000572191493419798,0.572191493419798
"845","Mother","or",20,"other",8,4230,0.00189125295508274,1.89125295508274
"846","Mother","or",20,"question",52,45017,0.00115511917719972,1.15511917719972
"847","Mother","or",21,"declarative",70,71182,0.00098339467842994,0.98339467842994
"848","Mother","or",21,"imperative",1,2602,0.000384319754035357,0.384319754035357
"849","Mother","or",21,"other",11,5560,0.00197841726618705,1.97841726618705
"850","Mother","or",21,"question",69,41019,0.0016821472975938,1.6821472975938
"851","Mother","or",22,"declarative",53,69151,0.000766438663215283,0.766438663215283
"852","Mother","or",22,"other",17,4431,0.00383660573234033,3.83660573234033
"853","Mother","or",22,"question",74,35758,0.00206946697242575,2.06946697242575
"854","Mother","or",23,"declarative",90,117469,0.000766159582528156,0.766159582528156
"855","Mother","or",23,"imperative",2,1814,0.00110253583241455,1.10253583241455
"856","Mother","or",23,"other",10,4566,0.00219010074463425,2.19010074463425
"857","Mother","or",23,"question",132,75277,0.00175352365264291,1.75352365264291
"858","Mother","or",24,"declarative",172,239623,0.00071779420172521,0.71779420172521
"859","Mother","or",24,"other",13,11317,0.00114871432358399,1.14871432358399
"860","Mother","or",24,"question",273,179090,0.00152437322016863,1.52437322016863
"861","Mother","or",25,"declarative",216,231481,0.000933121940893637,0.933121940893637
"862","Mother","or",25,"imperative",1,2413,0.000414421881475342,0.414421881475342
"863","Mother","or",25,"other",23,8128,0.00282972440944882,2.82972440944882
"864","Mother","or",25,"question",307,167755,0.00183004977496945,1.83004977496945
"865","Mother","or",26,"declarative",216,227625,0.000948929159802306,0.948929159802306
"866","Mother","or",26,"imperative",1,1750,0.000571428571428571,0.571428571428572
"867","Mother","or",26,"other",24,8122,0.00295493720758434,2.95493720758434
"868","Mother","or",26,"question",294,155831,0.00188665926548633,1.88665926548633
"869","Mother","or",27,"declarative",225,207979,0.00108183999346088,1.08183999346088
"870","Mother","or",27,"imperative",1,2249,0.000444642063139173,0.444642063139173
"871","Mother","or",27,"other",24,7419,0.00323493732308936,3.23493732308936
"872","Mother","or",27,"question",328,157584,0.00208142958676008,2.08142958676008
"873","Mother","or",28,"declarative",266,239547,0.00111042926857777,1.11042926857777
"874","Mother","or",28,"imperative",3,2885,0.00103986135181976,1.03986135181976
"875","Mother","or",28,"other",28,10751,0.00260440889219607,2.60440889219607
"876","Mother","or",28,"question",327,171933,0.00190190364851425,1.90190364851425
"877","Mother","or",29,"declarative",279,234050,0.00119205298013245,1.19205298013245
"878","Mother","or",29,"other",43,10666,0.00403150196887305,4.03150196887305
"879","Mother","or",29,"question",445,169523,0.00262501253517222,2.62501253517222
"880","Mother","or",30,"declarative",252,246669,0.00102161195772472,1.02161195772472
"881","Mother","or",30,"imperative",1,3736,0.000267665952890792,0.267665952890792
"882","Mother","or",30,"other",28,9436,0.0029673590504451,2.9673590504451
"883","Mother","or",30,"question",356,162920,0.00218512153204027,2.18512153204027
"884","Mother","or",31,"declarative",337,255187,0.00132060018731362,1.32060018731362
"885","Mother","or",31,"imperative",2,2662,0.000751314800901578,0.751314800901578
"886","Mother","or",31,"other",40,14247,0.00280760861935846,2.80760861935846
"887","Mother","or",31,"question",422,158769,0.00265794959973295,2.65794959973295
"888","Mother","or",32,"declarative",228,210392,0.00108369139511008,1.08369139511008
"889","Mother","or",32,"imperative",1,2652,0.000377073906485671,0.377073906485671
"890","Mother","or",32,"other",26,10111,0.00257145682919593,2.57145682919593
"891","Mother","or",32,"question",316,134349,0.00235208300768893,2.35208300768893
"892","Mother","or",33,"declarative",291,234540,0.00124072652852392,1.24072652852392
"893","Mother","or",33,"imperative",2,3318,0.000602772754671489,0.602772754671489
"894","Mother","or",33,"other",30,10558,0.00284144724379617,2.84144724379617
"895","Mother","or",33,"question",325,150450,0.00216018610834164,2.16018610834164
"896","Mother","or",34,"declarative",320,211991,0.00150949804472831,1.50949804472831
"897","Mother","or",34,"other",31,9130,0.00339539978094195,3.39539978094195
"898","Mother","or",34,"question",328,132598,0.00247364213638215,2.47364213638215
"899","Mother","or",35,"declarative",239,174159,0.00137230921169736,1.37230921169736
"900","Mother","or",35,"other",15,7542,0.00198886237072395,1.98886237072395
"901","Mother","or",35,"question",279,108960,0.00256057268722467,2.56057268722467
"902","Mother","or",36,"declarative",314,276427,0.00113592377010929,1.13592377010929
"903","Mother","or",36,"other",34,13867,0.0024518641378813,2.4518641378813
"904","Mother","or",36,"question",413,178519,0.00231347923750413,2.31347923750413
"905","Mother","or",37,"declarative",186,129652,0.00143460957023417,1.43460957023417
"906","Mother","or",37,"imperative",1,733,0.00136425648021828,1.36425648021828
"907","Mother","or",37,"other",16,7101,0.00225320377411632,2.25320377411632
"908","Mother","or",37,"question",227,76924,0.00295096458842494,2.95096458842494
"909","Mother","or",38,"declarative",134,81173,0.00165079521515775,1.65079521515775
"910","Mother","or",38,"other",13,4258,0.00305307656176609,3.05307656176609
"911","Mother","or",38,"question",136,43814,0.00310403067512667,3.10403067512667
"912","Mother","or",39,"declarative",108,81587,0.00132374030176376,1.32374030176376
"913","Mother","or",39,"imperative",1,814,0.00122850122850123,1.22850122850123
"914","Mother","or",39,"other",9,4349,0.00206944125086227,2.06944125086227
"915","Mother","or",39,"question",143,47092,0.00303660919052068,3.03660919052068
"916","Mother","or",40,"declarative",93,59442,0.001564550317957,1.564550317957
"917","Mother","or",40,"other",9,3514,0.00256118383608423,2.56118383608423
"918","Mother","or",40,"question",70,28343,0.00246974561620153,2.46974561620153
"919","Mother","or",41,"declarative",90,42094,0.00213807193424241,2.13807193424241
"920","Mother","or",41,"other",7,1876,0.00373134328358209,3.73134328358209
"921","Mother","or",41,"question",66,19624,0.00336322869955157,3.36322869955157
"922","Mother","or",42,"declarative",74,43449,0.00170314621740431,1.70314621740431
"923","Mother","or",42,"other",7,2270,0.00308370044052863,3.08370044052863
"924","Mother","or",42,"question",91,21595,0.00421393841166937,4.21393841166937
"925","Mother","or",43,"declarative",93,42750,0.00217543859649123,2.17543859649123
"926","Mother","or",43,"other",8,3350,0.00238805970149254,2.38805970149254
"927","Mother","or",43,"question",68,22200,0.00306306306306306,3.06306306306306
"928","Mother","or",44,"declarative",72,50004,0.00143988480921526,1.43988480921526
"929","Mother","or",44,"other",8,3506,0.00228180262407302,2.28180262407302
"930","Mother","or",44,"question",51,25977,0.00196327520498903,1.96327520498903
"931","Mother","or",45,"declarative",80,65781,0.00121615664097536,1.21615664097536
"932","Mother","or",45,"imperative",1,3308,0.00030229746070133,0.30229746070133
