"","speaker_role","word","target_child_age_years","speech_act","count"
"292","Father","and",2.01642710472279,"declarative",27
"293","Father","and",2.01642710472279,"other",9
"294","Father","and",2.01642710472279,"question",2
"295","Father","and",2.01916495550992,"declarative",17
"296","Father","and",2.01916495550992,"other",2
"297","Father","and",2.01916495550992,"question",5
"298","Father","and",2.02190280629706,"declarative",11
"299","Father","and",2.02190280629706,"imperative",1
"300","Father","and",2.02190280629706,"other",2
"301","Father","and",2.02190280629706,"question",2
"302","Father","and",2.02464065708419,"declarative",24
"303","Father","and",2.02464065708419,"other",7
"304","Father","and",2.02464065708419,"question",7
"305","Father","and",2.02737850787132,"declarative",11
"306","Father","and",2.02737850787132,"other",3
"307","Father","and",2.02737850787132,"question",3
"308","Father","and",2.03011635865845,"declarative",21
"309","Father","and",2.03011635865845,"other",9
"310","Father","and",2.03011635865845,"question",9
"311","Father","and",2.03285420944559,"declarative",1
"312","Father","and",2.03559206023272,"declarative",7
"313","Father","and",2.03559206023272,"other",1
"314","Father","and",2.03559206023272,"question",4
"315","Father","and",2.04106776180698,"declarative",1
"316","Father","and",2.04380561259411,"declarative",37
"317","Father","and",2.04380561259411,"imperative",1
"318","Father","and",2.04380561259411,"other",6
"319","Father","and",2.04380561259411,"question",8
"320","Father","and",2.04654346338125,"declarative",28
"321","Father","and",2.04654346338125,"other",13
"322","Father","and",2.04654346338125,"question",12
"323","Father","and",2.04928131416838,"declarative",2
"324","Father","and",2.06023271731691,"declarative",16
"325","Father","and",2.06023271731691,"other",8
"326","Father","and",2.06023271731691,"question",1
"327","Father","and",2.06297056810404,"declarative",24
"328","Father","and",2.06297056810404,"other",2
"329","Father","and",2.06297056810404,"question",6
"330","Father","and",2.06570841889117,"declarative",72
"331","Father","and",2.06570841889117,"imperative",1
"332","Father","and",2.06570841889117,"other",59
"333","Father","and",2.06570841889117,"question",21
"334","Father","and",2.07118412046543,"declarative",20
"335","Father","and",2.07118412046543,"other",6
"336","Father","and",2.07118412046543,"question",22
"337","Father","and",2.07392197125257,"declarative",3
"338","Father","and",2.07392197125257,"question",3
"339","Father","and",2.0766598220397,"declarative",20
"340","Father","and",2.0766598220397,"question",3
"341","Father","and",2.07939767282683,"declarative",3
"342","Father","and",2.07939767282683,"question",3
"343","Father","and",2.08213552361396,"declarative",37
"344","Father","and",2.08213552361396,"other",8
"345","Father","and",2.08213552361396,"question",22
"346","Father","and",2.08333333333333,"declarative",27
"347","Father","and",2.08333333333333,"other",34
"348","Father","and",2.08333333333333,"question",2
"349","Father","and",2.08607118412047,"declarative",3
"350","Father","and",2.08607118412047,"other",1
"351","Father","and",2.08607118412047,"question",17
"352","Father","and",2.0888090349076,"declarative",2
"353","Father","and",2.0888090349076,"question",1
"354","Father","and",2.09154688569473,"declarative",23
"355","Father","and",2.09154688569473,"imperative",1
"356","Father","and",2.09154688569473,"other",12
"357","Father","and",2.09154688569473,"question",7
"358","Father","and",2.09702258726899,"declarative",8
"359","Father","and",2.09702258726899,"question",5
"360","Father","and",2.09976043805613,"declarative",1
"361","Father","and",2.09976043805613,"question",2
"362","Father","and",2.10249828884326,"declarative",2
"363","Father","and",2.10249828884326,"other",1
"364","Father","and",2.10523613963039,"question",3
"365","Father","and",2.10797399041752,"declarative",11
"366","Father","and",2.10797399041752,"question",3
"367","Father","and",2.11071184120465,"declarative",17
"368","Father","and",2.11071184120465,"other",1
"369","Father","and",2.11071184120465,"question",5
"370","Father","and",2.11344969199179,"declarative",3
"371","Father","and",2.11344969199179,"question",1
"372","Father","and",2.12440109514031,"declarative",1
"373","Father","and",2.12713894592745,"declarative",3
"374","Father","and",2.12713894592745,"question",1
"375","Father","and",2.13535249828884,"declarative",10
"376","Father","and",2.13535249828884,"other",1
"377","Father","and",2.13535249828884,"question",1
"378","Father","and",2.13809034907598,"declarative",55
"379","Father","and",2.13809034907598,"other",10
"380","Father","and",2.13809034907598,"question",8
"381","Father","and",2.14082819986311,"declarative",11
"382","Father","and",2.14082819986311,"question",5
"383","Father","and",2.14356605065024,"question",2
"384","Father","and",2.14630390143737,"declarative",20
"385","Father","and",2.14630390143737,"imperative",1
"386","Father","and",2.14630390143737,"other",2
"387","Father","and",2.14630390143737,"question",20
"388","Father","and",2.15177960301164,"declarative",12
"389","Father","and",2.15177960301164,"other",1
"390","Father","and",2.15177960301164,"question",2
"391","Father","and",2.15451745379877,"declarative",2
"392","Father","and",2.15451745379877,"other",1
"393","Father","and",2.1572553045859,"declarative",8
"394","Father","and",2.1572553045859,"question",1
"395","Father","and",2.1654688569473,"declarative",4
"396","Father","and",2.1654688569473,"question",2
"397","Father","and",2.16666666666667,"declarative",2
"398","Father","and",2.16666666666667,"question",1
"399","Father","and",2.1694045174538,"declarative",4
"400","Father","and",2.1694045174538,"question",4
"401","Father","and",2.17214236824093,"declarative",11
"402","Father","and",2.17214236824093,"imperative",4
"403","Father","and",2.17214236824093,"other",6
"404","Father","and",2.17214236824093,"question",9
"405","Father","and",2.17488021902806,"declarative",31
"406","Father","and",2.17488021902806,"imperative",1
"407","Father","and",2.17488021902806,"other",3
"408","Father","and",2.17488021902806,"question",7
"409","Father","and",2.1776180698152,"declarative",19
"410","Father","and",2.1776180698152,"imperative",3
"411","Father","and",2.1776180698152,"question",1
"412","Father","and",2.18035592060233,"declarative",32
"413","Father","and",2.18035592060233,"imperative",3
"414","Father","and",2.18035592060233,"other",1
"415","Father","and",2.18035592060233,"question",1
"416","Father","and",2.18309377138946,"declarative",16
"417","Father","and",2.18309377138946,"other",2
"418","Father","and",2.18309377138946,"question",5
"419","Father","and",2.19678302532512,"declarative",21
"420","Father","and",2.19678302532512,"imperative",1
"421","Father","and",2.19678302532512,"other",2
"422","Father","and",2.19678302532512,"question",3
"423","Father","and",2.19952087611225,"declarative",1
"424","Father","and",2.19952087611225,"other",1
"425","Father","and",2.20225872689938,"declarative",13
"426","Father","and",2.20225872689938,"other",2
"427","Father","and",2.20225872689938,"question",24
"428","Father","and",2.20773442847365,"declarative",4
"429","Father","and",2.20773442847365,"other",1
"430","Father","and",2.21321013004791,"declarative",26
"431","Father","and",2.21321013004791,"other",1
"432","Father","and",2.21321013004791,"question",6
"433","Father","and",2.21594798083504,"declarative",61
"434","Father","and",2.21594798083504,"imperative",1
"435","Father","and",2.21594798083504,"other",2
"436","Father","and",2.21594798083504,"question",9
"437","Father","and",2.22142368240931,"declarative",62
"438","Father","and",2.22142368240931,"imperative",3
"439","Father","and",2.22142368240931,"other",2
"440","Father","and",2.22142368240931,"question",23
"441","Father","and",2.22416153319644,"declarative",18
"442","Father","and",2.22416153319644,"question",9
"443","Father","and",2.22689938398357,"declarative",45
"444","Father","and",2.22689938398357,"imperative",7
"445","Father","and",2.22689938398357,"other",1
"446","Father","and",2.22689938398357,"question",6
"447","Father","and",2.2296372347707,"declarative",1
"448","Father","and",2.23237508555784,"declarative",3
"449","Father","and",2.23237508555784,"imperative",1
"450","Father","and",2.23237508555784,"question",2
"451","Father","and",2.23511293634497,"declarative",1
"452","Father","and",2.23511293634497,"question",2
"453","Father","and",2.2378507871321,"declarative",6
"454","Father","and",2.2378507871321,"question",2
"455","Father","and",2.25,"declarative",27
"456","Father","and",2.25,"other",7
"457","Father","and",2.25,"question",2
"458","Father","and",2.25273785078713,"declarative",13
"459","Father","and",2.25273785078713,"question",9
"460","Father","and",2.25547570157426,"declarative",4
"461","Father","and",2.2582135523614,"declarative",8
"462","Father","and",2.2582135523614,"other",1
"463","Father","and",2.2582135523614,"question",13
"464","Father","and",2.26095140314853,"declarative",3
"465","Father","and",2.26368925393566,"declarative",3
"466","Father","and",2.26368925393566,"other",3
"467","Father","and",2.26642710472279,"declarative",10
"468","Father","and",2.26642710472279,"question",8
"469","Father","and",2.27737850787132,"question",1
"470","Father","and",2.28011635865845,"declarative",20
"471","Father","and",2.28011635865845,"imperative",2
"472","Father","and",2.28011635865845,"question",21
"473","Father","and",2.29380561259411,"declarative",1
"474","Father","and",2.29654346338125,"question",1
"475","Father","and",2.30201916495551,"other",2
"476","Father","and",2.30201916495551,"question",2
"477","Father","and",2.30475701574264,"declarative",2
"478","Father","and",2.30475701574264,"imperative",1
"479","Father","and",2.30749486652977,"declarative",2
"480","Father","and",2.30749486652977,"other",1
"481","Father","and",2.30749486652977,"question",3
"482","Father","and",2.31297056810404,"declarative",2
"483","Father","and",2.32118412046543,"declarative",14
