"","speaker_role","word","target_child_age_years","speech_act","count","total","rel_freq","ppt"
"19821","Target_Child","or",3.92214236824093,"question",4,368,0.0108695652173913,10.8695652173913
"19822","Target_Child","or",3.92488021902806,"declarative",1,2847,0.000351246926589392,0.351246926589392
"19823","Target_Child","or",3.92488021902806,"question",1,216,0.00462962962962963,4.62962962962963
"19824","Target_Child","or",3.93309377138946,"declarative",1,1553,0.000643915003219575,0.643915003219575
"19825","Target_Child","or",3.93309377138946,"question",1,356,0.00280898876404494,2.80898876404494
"19826","Target_Child","or",3.94404517453799,"question",1,179,0.00558659217877095,5.58659217877095
"19827","Target_Child","or",3.94678302532512,"question",1,415,0.00240963855421687,2.40963855421687
"19828","Target_Child","or",3.94952087611225,"declarative",1,1269,0.000788022064617809,0.788022064617809
"19829","Target_Child","or",3.95499657768652,"declarative",4,3112,0.0012853470437018,1.2853470437018
"19830","Target_Child","or",3.95499657768652,"other",1,108,0.00925925925925926,9.25925925925926
"19831","Target_Child","or",3.96047227926078,"declarative",2,1071,0.00186741363211951,1.86741363211951
"19832","Target_Child","or",3.97416153319644,"imperative",1,127,0.0078740157480315,7.8740157480315
"19833","Target_Child","or",3.98237508555784,"declarative",1,524,0.00190839694656489,1.90839694656489
"19834","Target_Child","or",3.99058863791923,"declarative",1,2288,0.000437062937062937,0.437062937062937
"19835","Target_Child","or",3.99332648870637,"question",2,239,0.00836820083682008,8.36820083682008
"19836","Target_Child","or",3.9960643394935,"declarative",3,476,0.00630252100840336,6.30252100840336
"19837","Target_Child","or",3.99880219028063,"declarative",1,737,0.00135685210312076,1.35685210312076
"19838","Target_Child","or",4,"declarative",6,12847,0.000467035105472095,0.467035105472095
"19839","Target_Child","or",4,"question",2,1041,0.00192122958693564,1.92122958693564
"19840","Target_Child","or",4.00547570157426,"declarative",4,1826,0.00219058050383352,2.19058050383352
"19841","Target_Child","or",4.00547570157426,"other",1,146,0.00684931506849315,6.84931506849315
"19842","Target_Child","or",4.0082135523614,"declarative",2,1081,0.00185013876040703,1.85013876040703
"19843","Target_Child","or",4.01095140314853,"declarative",3,1374,0.00218340611353712,2.18340611353712
"19844","Target_Child","or",4.01368925393566,"declarative",1,1258,0.000794912559618442,0.794912559618442
"19845","Target_Child","or",4.01368925393566,"other",1,81,0.0123456790123457,12.3456790123457
"19846","Target_Child","or",4.01916495550992,"declarative",2,2892,0.000691562932226833,0.691562932226833
