"","speaker_role","word","target_child_age_years","count","total","rel_freq","ppt"
"5598","Mother","other",4.83607118412047,3065,3165,0.968404423380727,968.404423380727
"5599","Mother","other",4.8388090349076,4272,4385,0.974230330672748,974.230330672748
"5600","Mother","other",4.84154688569473,897,915,0.980327868852459,980.327868852459
"5601","Mother","other",4.84428473648186,6175,6306,0.979226133840787,979.226133840787
"5602","Mother","other",4.84702258726899,4914,5071,0.969039637152435,969.039637152435
"5603","Mother","other",4.84976043805613,7447,7675,0.970293159609121,970.29315960912
"5604","Mother","other",4.85523613963039,1029,1043,0.986577181208054,986.577181208054
"5605","Mother","other",4.85797399041752,142,143,0.993006993006993,993.006993006993
"5606","Mother","other",4.86071184120465,6771,6975,0.970752688172043,970.752688172043
"5607","Mother","other",4.86344969199179,801,812,0.986453201970443,986.453201970443
"5608","Mother","other",4.87440109514031,1695,1722,0.984320557491289,984.320557491289
"5609","Mother","other",4.88809034907598,854,878,0.972665148063781,972.665148063781
"5610","Mother","other",4.89082819986311,987,1014,0.973372781065089,973.372781065089
"5611","Mother","other",4.89356605065024,166,167,0.994011976047904,994.011976047904
"5612","Mother","other",4.89630390143737,1025,1029,0.996112730806608,996.112730806608
"5613","Mother","other",4.8990417522245,3230,3327,0.970844604749023,970.844604749023
"5614","Mother","other",4.9072553045859,929,944,0.984110169491525,984.110169491525
"5615","Mother","other",4.91273100616016,356,360,0.988888888888889,988.888888888889
"5616","Mother","other",4.91666666666667,6557,6780,0.967109144542773,967.109144542773
"5617","Mother","other",4.9194045174538,8502,8704,0.976792279411765,976.792279411765
"5618","Mother","other",4.92214236824093,2703,2758,0.980058013052937,980.058013052937
"5619","Mother","other",4.9276180698152,527,536,0.983208955223881,983.208955223881
"5620","Mother","other",4.93035592060233,4589,4696,0.97721465076661,977.21465076661
"5621","Mother","other",4.93309377138946,5580,5702,0.978603998596984,978.603998596984
"5622","Mother","other",4.93583162217659,3066,3151,0.973024436686766,973.024436686766
"5623","Mother","other",4.93856947296372,6907,7059,0.978467204986542,978.467204986542
"5624","Mother","other",4.94130732375086,89,93,0.956989247311828,956.989247311828
"5625","Mother","other",4.95225872689938,1170,1197,0.977443609022556,977.443609022556
"5626","Mother","other",4.96868583162218,852,881,0.967082860385925,967.082860385925
"5627","Mother","other",4.97142368240931,6170,6362,0.969820811065703,969.820811065703
"5628","Mother","other",4.97689938398357,2031,2069,0.981633639439343,981.633639439343
"5629","Mother","other",4.97963723477071,7130,7287,0.978454782489365,978.454782489365
"5630","Mother","other",4.98511293634497,263,268,0.98134328358209,981.343283582089
"5631","Mother","other",4.9878507871321,1203,1248,0.963942307692308,963.942307692308
"5632","Mother","other",4.99058863791923,77,80,0.9625,962.5
"5633","Mother","other",4.99332648870637,3492,3558,0.981450252951096,981.450252951096
"5634","Mother","other",5,4603,4699,0.979570121302405,979.570121302405
"5635","Mother","other",5.00547570157426,744,765,0.972549019607843,972.549019607843
"5636","Mother","other",5.0082135523614,612,622,0.983922829581994,983.922829581994
"5637","Mother","other",5.01095140314853,235,241,0.975103734439834,975.103734439834
"5638","Mother","other",5.01368925393566,2964,3024,0.98015873015873,980.15873015873
"5639","Mother","other",5.01916495550992,2244,2290,0.979912663755458,979.912663755459
"5640","Mother","other",5.02190280629706,2194,2250,0.975111111111111,975.111111111111
"5641","Mother","other",5.02737850787132,763,776,0.983247422680412,983.247422680412
"5642","Mother","other",5.03011635865845,207,209,0.990430622009569,990.430622009569
"5643","Mother","other",5.04380561259411,4705,4812,0.977763923524522,977.763923524522
"5644","Mother","other",5.04654346338125,1850,1915,0.966057441253264,966.057441253264
"5645","Mother","other",5.05201916495551,1292,1313,0.984006092916984,984.006092916984
"5646","Mother","other",5.06570841889117,761,776,0.980670103092783,980.670103092784
"5647","Mother","other",5.0684462696783,729,738,0.98780487804878,987.80487804878
"5648","Mother","other",5.08213552361396,171,174,0.982758620689655,982.758620689655
"5649","Mother","other",5.0888090349076,1605,1656,0.969202898550725,969.202898550725
"5650","Mother","other",5.09702258726899,1980,2031,0.974889217134417,974.889217134417
"5651","Mother","other",5.09976043805613,1680,1701,0.987654320987654,987.654320987654
"5652","Mother","other",5.11892539356605,3393,3465,0.979220779220779,979.220779220779
"5653","Mother","other",5.12713894592745,1565,1604,0.97568578553616,975.68578553616
"5654","Mother","other",5.13809034907598,145,145,1,1000
"5655","Mother","other",5.16666666666667,5568,5677,0.980799718161001,980.799718161001
"5656","Mother","other",5.18583162217659,1608,1663,0.966927239927841,966.927239927841
"5657","Mother","other",5.18856947296372,2600,2654,0.979653353428787,979.653353428787
"5658","Mother","other",5.19952087611225,1218,1238,0.983844911147011,983.844911147011
"5659","Mother","other",5.20225872689938,702,710,0.988732394366197,988.732394366197
"5660","Mother","other",5.24058863791923,1634,1673,0.976688583383144,976.688583383144
"5661","Mother","other",5.25,1243,1270,0.978740157480315,978.740157480315
"5662","Mother","other",5.26642710472279,2301,2326,0.989251934651763,989.251934651763
"5663","Mother","other",5.27464065708419,195,198,0.984848484848485,984.848484848485
"5664","Mother","other",5.29106776180698,531,537,0.988826815642458,988.826815642458
"5665","Mother","other",5.29380561259411,6326,6510,0.97173579109063,971.73579109063
"5666","Mother","other",5.31023271731691,1942,1980,0.980808080808081,980.808080808081
"5667","Mother","other",5.32939767282683,662,668,0.991017964071856,991.017964071856
"5668","Mother","other",5.34154688569473,38,40,0.95,950
"5669","Mother","other",5.35523613963039,2718,2798,0.971408148677627,971.408148677627
"5670","Mother","other",5.36344969199179,3893,3963,0.982336613676508,982.336613676508
"5671","Mother","other",5.37166324435318,5263,5400,0.97462962962963,974.62962962963
"5672","Mother","other",5.38535249828884,1696,1712,0.990654205607477,990.654205607477
"5673","Mother","other",5.39082819986311,698,707,0.987270155586987,987.270155586987
"5674","Mother","other",5.39356605065024,274,281,0.97508896797153,975.08896797153
"5675","Mother","other",5.39630390143737,750,756,0.992063492063492,992.063492063492
"5676","Mother","other",5.3990417522245,196,196,1,1000
"5677","Mother","other",5.40451745379877,1754,1803,0.972823072656683,972.823072656683
"5678","Mother","other",5.41666666666667,214,214,1,1000
"5679","Mother","other",5.43035592060233,881,898,0.981069042316258,981.069042316258
"5680","Mother","other",5.43309377138946,1551,1598,0.970588235294118,970.588235294118
"5681","Mother","other",5.44678302532512,4535,4629,0.979693238280406,979.693238280406
"5682","Mother","other",5.44952087611225,210,212,0.990566037735849,990.566037735849
"5683","Mother","other",5.46321013004791,2254,2305,0.977874186550976,977.874186550976
"5684","Mother","other",5.4960643394935,3208,3278,0.978645515558267,978.645515558267
"5685","Mother","other",5.50547570157426,2296,2338,0.982035928143713,982.035928143713
"5686","Mother","other",5.51642710472279,636,642,0.990654205607477,990.654205607477
"5687","Mother","other",5.53011635865845,5413,5539,0.97725221159054,977.25221159054
"5688","Mother","other",5.53559206023272,2397,2435,0.984394250513347,984.394250513347
"5689","Mother","other",5.55201916495551,1058,1078,0.981447124304267,981.447124304267
"5690","Mother","other",5.55475701574264,1685,1716,0.981934731934732,981.934731934732
"5691","Mother","other",5.56297056810404,4469,4554,0.981335090030742,981.335090030742
"5692","Mother","other",5.5684462696783,666,673,0.989598811292719,989.598811292719
"5693","Mother","other",5.5766598220397,3641,3681,0.989133387666395,989.133387666395
"5694","Mother","other",5.57939767282683,702,704,0.997159090909091,997.159090909091
"5695","Mother","other",5.58607118412047,6441,6558,0.982159194876487,982.159194876487
"5696","Mother","other",5.5888090349076,2626,2664,0.985735735735736,985.735735735736
"5697","Mother","other",5.60523613963039,1246,1283,0.97116134060795,971.16134060795
"5698","Mother","other",5.60797399041752,2015,2089,0.964576352321685,964.576352321685
"5699","Mother","other",5.61344969199179,1456,1478,0.9851150202977,985.1150202977
"5700","Mother","other",5.61892539356605,3797,3875,0.979870967741935,979.870967741935
"5701","Mother","other",5.62713894592745,2474,2534,0.976322020520916,976.322020520916
"5702","Mother","other",5.63809034907598,3998,4092,0.97702834799609,977.02834799609
"5703","Mother","other",5.65177960301164,2823,2884,0.978848821081831,978.848821081831
"5704","Mother","other",5.66273100616016,2483,2532,0.980647709320695,980.647709320695
"5705","Mother","other",5.68583162217659,4948,5075,0.974975369458128,974.975369458128
"5706","Mother","other",5.68856947296372,536,543,0.987108655616943,987.108655616943
"5707","Mother","other",5.69404517453799,4444,4543,0.978208232445521,978.208232445521
"5708","Mother","other",5.69678302532512,21,22,0.954545454545455,954.545454545455
"5709","Mother","other",5.69952087611225,2346,2394,0.979949874686717,979.949874686717
"5710","Mother","other",5.70499657768652,416,421,0.98812351543943,988.12351543943
"5711","Mother","other",5.71868583162218,6,6,1,1000
"5712","Mother","other",5.73511293634497,2859,2921,0.978774392331393,978.774392331393
"5713","Mother","other",5.74880219028063,465,473,0.983086680761099,983.086680761099
"5714","Mother","other",5.75,943,952,0.990546218487395,990.546218487395
"5715","Mother","other",5.75273785078713,2126,2174,0.977920883164673,977.920883164673
"5716","Mother","other",5.77464065708419,1594,1622,0.982737361282367,982.737361282367
"5717","Mother","other",5.78285420944558,2338,2394,0.976608187134503,976.608187134503
"5718","Mother","other",5.78832991101985,6230,6369,0.97817553776103,978.17553776103
"5719","Mother","other",5.80201916495551,1890,1937,0.975735673722251,975.735673722251
"5720","Mother","other",5.80749486652977,1513,1540,0.982467532467532,982.467532467532
"5721","Mother","other",5.81570841889117,853,867,0.983852364475202,983.852364475202
"5722","Mother","other",5.82392197125257,2063,2103,0.980979553019496,980.979553019496
"5723","Mother","other",5.82939767282683,2892,2944,0.982336956521739,982.336956521739
"5724","Mother","other",5.83213552361396,287,288,0.996527777777778,996.527777777778
"5725","Mother","other",5.83333333333333,548,565,0.969911504424779,969.911504424779
"5726","Mother","other",5.83607118412047,418,426,0.981220657276995,981.220657276995
"5727","Mother","other",5.85249828884326,1467,1494,0.981927710843373,981.927710843373
"5728","Mother","other",5.86892539356605,51,52,0.980769230769231,980.769230769231
"5729","Mother","other",5.87713894592745,3718,3789,0.981261546582212,981.261546582212
"5730","Mother","other",5.88809034907598,2362,2428,0.972817133443163,972.817133443163
"5731","Mother","other",5.89082819986311,3935,4006,0.982276585122317,982.276585122317
"5732","Mother","other",5.89356605065024,1476,1500,0.984,984
"5733","Mother","other",5.9194045174538,1269,1284,0.988317757009346,988.317757009346
"5734","Mother","other",5.9276180698152,1413,1427,0.990189208128942,990.189208128942
"5735","Mother","other",5.95225872689938,4425,4524,0.978116710875332,978.116710875332
"5736","Mother","other",5.96047227926078,1860,1914,0.971786833855799,971.786833855799
"5737","Mother","other",5.96321013004791,3198,3266,0.979179424372321,979.179424372321
"5738","Mother","other",5.9960643394935,50,50,1,1000
"5739","Target_Child","and",1.24332648870637,1,1213,0.000824402308326463,0.824402308326463
"5740","Target_Child","and",1.29106776180698,2,1663,0.00120264582080577,1.20264582080577
"5741","Target_Child","and",1.3184462696783,1,1274,0.000784929356357928,0.784929356357928
"5742","Target_Child","and",1.33333333333333,1,1988,0.000503018108651912,0.503018108651912
"5743","Target_Child","and",1.36071184120465,1,1443,0.000693000693000693,0.693000693000693
"5744","Target_Child","and",1.36344969199179,1,1377,0.000726216412490922,0.726216412490922
"5745","Target_Child","and",1.40451745379877,1,536,0.00186567164179104,1.86567164179104
"5746","Target_Child","and",1.40999315537303,1,227,0.00440528634361234,4.40528634361234
"5747","Target_Child","and",1.41666666666667,3,1717,0.0017472335468841,1.7472335468841
"5748","Target_Child","and",1.44678302532512,5,1844,0.0027114967462039,2.7114967462039
"5749","Target_Child","and",1.46047227926078,1,737,0.00135685210312076,1.35685210312076
