"dv_type","sid","trial_type","response","feedback","age_year","age_category"
"2",91,"X.XandY","Wrong",NA,NA,"Adults"
"2",92,"X.XandY","Wrong",NA,NA,"Adults"
"2",94,"X.XandY","Wrong",NA,NA,"Adults"
"2",97,"X.XandY","Wrong",NA,NA,"Adults"
"2",99,"X.XandY","Wrong",NA,NA,"Adults"
"2",101,"X.XandY","Right",NA,NA,"Adults"
"2",103,"X.XandY","Wrong",NA,NA,"Adults"
"2",105,"X.XandY","Wrong",NA,NA,"Adults"
"2",106,"X.XandY","Right",NA,NA,"Adults"
"2",108,"X.XandY","Wrong",NA,NA,"Adults"
"2",1,"X.XorY","Right",NA,NA,"Adults"
"2",2,"X.XorY","Right",NA,NA,"Adults"
"2",3,"X.XorY","Right",NA,NA,"Adults"
"2",4,"X.XorY","Right",NA,NA,"Adults"
"2",5,"X.XorY","Right",NA,NA,"Adults"
"2",6,"X.XorY","Right",NA,NA,"Adults"
"2",7,"X.XorY","Right",NA,NA,"Adults"
"2",8,"X.XorY","Right",NA,NA,"Adults"
"2",10,"X.XorY","Right",NA,NA,"Adults"
"2",14,"X.XorY","Right",NA,NA,"Adults"
"2",16,"X.XorY","Right",NA,NA,"Adults"
"2",20,"X.XorY","Wrong",NA,NA,"Adults"
"2",22,"X.XorY","Right",NA,NA,"Adults"
"2",24,"X.XorY","Right",NA,NA,"Adults"
"2",26,"X.XorY","Right",NA,NA,"Adults"
"2",29,"X.XorY","Right",NA,NA,"Adults"
"2",30,"X.XorY","Right",NA,NA,"Adults"
"2",34,"X.XorY","Right",NA,NA,"Adults"
"2",39,"X.XorY","Right",NA,NA,"Adults"
"2",40,"X.XorY","Right",NA,NA,"Adults"
"2",41,"X.XorY","Right",NA,NA,"Adults"
"2",42,"X.XorY","Right",NA,NA,"Adults"
"2",43,"X.XorY","Right",NA,NA,"Adults"
"2",44,"X.XorY","Right",NA,NA,"Adults"
"2",45,"X.XorY","Right",NA,NA,"Adults"
"2",47,"X.XorY","Right",NA,NA,"Adults"
"2",48,"X.XorY","Right",NA,NA,"Adults"
"2",50,"X.XorY","Right",NA,NA,"Adults"
"2",51,"X.XorY","Right",NA,NA,"Adults"
"2",52,"X.XorY","Right",NA,NA,"Adults"
"2",56,"X.XorY","Right",NA,NA,"Adults"
"2",57,"X.XorY","Right",NA,NA,"Adults"
"2",59,"X.XorY","Right",NA,NA,"Adults"
"2",61,"X.XorY","Right",NA,NA,"Adults"
"2",64,"X.XorY","Right",NA,NA,"Adults"
"2",65,"X.XorY","Right",NA,NA,"Adults"
"2",68,"X.XorY","Right",NA,NA,"Adults"
"2",72,"X.XorY","Right",NA,NA,"Adults"
"2",73,"X.XorY","Right",NA,NA,"Adults"
"2",76,"X.XorY","Right",NA,NA,"Adults"
"2",78,"X.XorY","Right",NA,NA,"Adults"
"2",79,"X.XorY","Right",NA,NA,"Adults"
"2",81,"X.XorY","Right",NA,NA,"Adults"
"2",83,"X.XorY","Right",NA,NA,"Adults"
"2",85,"X.XorY","Right",NA,NA,"Adults"
"2",87,"X.XorY","Right",NA,NA,"Adults"
"2",88,"X.XorY","Right",NA,NA,"Adults"
"2",91,"X.XorY","Right",NA,NA,"Adults"
"2",92,"X.XorY","Right",NA,NA,"Adults"
"2",94,"X.XorY","Right",NA,NA,"Adults"
"2",97,"X.XorY","Right",NA,NA,"Adults"
"2",99,"X.XorY","Right",NA,NA,"Adults"
"2",101,"X.XorY","Right",NA,NA,"Adults"
"2",103,"X.XorY","Right",NA,NA,"Adults"
"2",105,"X.XorY","Right",NA,NA,"Adults"
"2",106,"X.XorY","Wrong",NA,NA,"Adults"
"2",108,"X.XorY","Right",NA,NA,"Adults"
"2",1,"X.YorZ","Wrong",NA,NA,"Adults"
"2",2,"X.YorZ","Right",NA,NA,"Adults"
"2",3,"X.YorZ","Wrong",NA,NA,"Adults"
"2",4,"X.YorZ","Wrong",NA,NA,"Adults"
"2",5,"X.YorZ","Wrong",NA,NA,"Adults"
"2",6,"X.YorZ","Wrong",NA,NA,"Adults"
"2",7,"X.YorZ","Wrong",NA,NA,"Adults"
"2",8,"X.YorZ","Wrong",NA,NA,"Adults"
"2",10,"X.YorZ","Wrong",NA,NA,"Adults"
"2",14,"X.YorZ","Wrong",NA,NA,"Adults"
"2",16,"X.YorZ","Wrong",NA,NA,"Adults"
"2",20,"X.YorZ","Wrong",NA,NA,"Adults"
"2",22,"X.YorZ","Wrong",NA,NA,"Adults"
"2",24,"X.YorZ","Wrong",NA,NA,"Adults"
"2",26,"X.YorZ","Wrong",NA,NA,"Adults"
"2",29,"X.YorZ","Wrong",NA,NA,"Adults"
"2",30,"X.YorZ","Wrong",NA,NA,"Adults"
"2",34,"X.YorZ","Wrong",NA,NA,"Adults"
"2",39,"X.YorZ","Wrong",NA,NA,"Adults"
"2",40,"X.YorZ","Wrong",NA,NA,"Adults"
"2",41,"X.YorZ","Wrong",NA,NA,"Adults"
"2",42,"X.YorZ","Wrong",NA,NA,"Adults"
"2",43,"X.YorZ","Wrong",NA,NA,"Adults"
"2",44,"X.YorZ","Wrong",NA,NA,"Adults"
"2",45,"X.YorZ","Wrong",NA,NA,"Adults"
"2",47,"X.YorZ","Wrong",NA,NA,"Adults"
"2",48,"X.YorZ","Wrong",NA,NA,"Adults"
"2",50,"X.YorZ","Wrong",NA,NA,"Adults"
"2",51,"X.YorZ","Wrong",NA,NA,"Adults"
"2",52,"X.YorZ","Wrong",NA,NA,"Adults"
"2",56,"X.YorZ","Wrong",NA,NA,"Adults"
"2",57,"X.YorZ","Wrong",NA,NA,"Adults"
"2",59,"X.YorZ","Wrong",NA,NA,"Adults"
"2",61,"X.YorZ","Wrong",NA,NA,"Adults"
"2",64,"X.YorZ","Wrong",NA,NA,"Adults"
"2",65,"X.YorZ","Wrong",NA,NA,"Adults"
"2",68,"X.YorZ","Wrong",NA,NA,"Adults"
"2",72,"X.YorZ","Wrong",NA,NA,"Adults"
"2",73,"X.YorZ","Wrong",NA,NA,"Adults"
"2",76,"X.YorZ","Wrong",NA,NA,"Adults"
"2",78,"X.YorZ","Wrong",NA,NA,"Adults"
"2",79,"X.YorZ","Wrong",NA,NA,"Adults"
"2",81,"X.YorZ","Wrong",NA,NA,"Adults"
"2",83,"X.YorZ","Wrong",NA,NA,"Adults"
"2",85,"X.YorZ","Wrong",NA,NA,"Adults"
"2",87,"X.YorZ","Wrong",NA,NA,"Adults"
"2",88,"X.YorZ","Wrong",NA,NA,"Adults"
"2",91,"X.YorZ","Wrong",NA,NA,"Adults"
"2",92,"X.YorZ","Wrong",NA,NA,"Adults"
"2",94,"X.YorZ","Wrong",NA,NA,"Adults"
"2",97,"X.YorZ","Wrong",NA,NA,"Adults"
"2",99,"X.YorZ","Wrong",NA,NA,"Adults"
"2",101,"X.YorZ","Wrong",NA,NA,"Adults"
"2",103,"X.YorZ","Wrong",NA,NA,"Adults"
"2",105,"X.YorZ","Wrong",NA,NA,"Adults"
"2",106,"X.YorZ","Wrong",NA,NA,"Adults"
"2",108,"X.YorZ","Wrong",NA,NA,"Adults"
"2",1,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",2,"XY.YandZ","Right",NA,NA,"Adults"
"2",3,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",4,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",5,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",6,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",7,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",8,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",10,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",14,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",16,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",20,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",22,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",24,"XY.YandZ","Right",NA,NA,"Adults"
"2",26,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",29,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",30,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",34,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",39,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",40,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",41,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",42,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",43,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",44,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",45,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",47,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",48,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",50,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",51,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",52,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",56,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",57,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",59,"XY.YandZ","Right",NA,NA,"Adults"
"2",61,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",64,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",65,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",68,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",72,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",73,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",76,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",78,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",79,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",81,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",83,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",85,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",87,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",88,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",91,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",92,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",94,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",97,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",99,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",101,"XY.YandZ","Right",NA,NA,"Adults"
"2",103,"XY.YandZ","Wrong",NA,NA,"Adults"
"2",105,"XY.YandZ","Wrong",NA,NA,"Adults"
